Continente,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Africa,72.48792312714286,74.44868758345454,74.40554679890909,74.14193627327272,72.78324409745454,72.38068850745455,71.50303339636363,71.08668346145454,71.43837357327273,70.95952755636364,70.42370641418182,71.43130943222222,71.17799520203704,71.26069025666666,71.22806990407408,70.2509358,74.57700767690909,73.50651893672728,73.34763282472727,75.25664190857142,74.62364433107143,68.77221184229091,68.5825301682909,67.7665824794,67.50954771523637,66.98827533952728
America,61.06333654955319,61.52110523534042,57.884796844911115,60.611835785477275,61.89178873944444,61.25459244682609,65.432090850875,61.07865951306521,61.33941641147826,61.99634845389131,62.81110571176596,60.51627426118367,61.13404181281633,59.290730686265306,57.99989934463265,58.228146673489796,51.158340260770835,50.82805615020833,50.205520464895834,50.233613882458336,50.10938204764583,49.76998094893617,47.531810817659576,46.963367010851066,46.934427576170215,46.77777737744681
Asia,38.682009172708334,38.266229345250004,38.68172129289584,38.7712289555,39.18167126479167,38.78199884529167,38.7975581129375,38.48736897952083,38.75931171772917,38.30872510604167,37.75656336302084,36.41935797936735,36.67748531330612,36.08212655118368,36.337902555020406,35.453775778959184,35.38021125439583,35.00235088141667,34.515437769083334,34.69576161389583,34.3903044605625,35.64490627539583,35.169369412083334,35.24565464389583,35.170294261291666,32.92373282987755
Europe,33.192384942564104,33.885536565128206,36.77858435102564,38.497193856923076,35.60733805216216,35.74677270648649,35.10410618972973,36.80441637578947,35.776849637105265,36.20896935157894,36.286654614999996,35.703683148684206,35.687779205,34.864531922105265,34.6842391181579,34.85991969789474,35.05603398289473,35.025063142368424,35.32306606947368,36.10200236973684,35.272593214736844,32.94153336837837,33.418509311891896,31.242356150263156,31.939536109473686,32.0957553981579
Oceania,70.96683256984211,71.0483816051579,71.21878013847369,71.32051555789474,71.95802097415789,71.82031455442106,71.16371046557896,71.57545462805263,70.22838757457895,70.55510588878947,69.53289169836842,74.33788841166667,74.91648335938096,74.97199950661904,77.6674246555909,76.42513404331818,67.02197105668421,67.62452142926315,66.3885572758421,67.409076423,66.38273942921052,66.27424279666667,64.79866437047619,66.35474664719047,68.49652202471428,69.291334889
